nom_banque;code_etab;nom_etab;code_agence;nom_agence;rue;coords
Banque Populaire;16607;Banque Populaire du Sud;00045;ESPERAZA;2, pl de la République;42.933912,2.221166
Banque Populaire;13807;Banque Populaire Grand Ouest;00299;VALLET;9-10, pl Charles de Gaulle;47.160773,-1.265716
Banque Populaire;13807;Banque Populaire Grand Ouest;00315;LA CHAPELLE SUR ERDRE;18, rue Martin Luther King;47.29831,-1.550996
Banque Populaire;10107;BRED-Banque Populaire;00222;FONTENAY SOUS BOIS MAIRIE;10, pl du Général Leclerc;48.847073,2.47115
Banque Populaire;16607;Banque Populaire du Sud;00046;BRAM;11, ave du Général de Gaulle;43.24322,2.114876
Banque Populaire;16607;Banque Populaire du Sud;00047;SIGEAN;73, rte de Narbonne;43.030487,2.9751
Banque Populaire;13807;Banque Populaire Grand Ouest;00371;NANTES ST PIERRE;2, pl Saint Pierre;47.22521,-1.523296
Banque Populaire;10107;BRED-Banque Populaire;00224;NOGENT SUR MARNE;160 bis, Grande Rue Charles de Gaulle;48.838251,2.48977
Banque Populaire;10107;BRED-Banque Populaire;00225;ST MANDE;178, ave Galliéni;48.846866,2.417283
Banque Populaire;16607;Banque Populaire du Sud;00053;BPS PAMIERS;72, Boulevard Alsace Lorraine;43.118419,1.614154
Banque Populaire;13807;Banque Populaire Grand Ouest;00484;ST PHILBERT DE GRAND LIEU;18, rue de l'Hôtel de Ville;47.037822,-1.641874
Banque Populaire;17807;Banque Populaire Occitane;00119;TOULOUSE L'ORMEAU;235, ave Saint Exupéry;43.579197,1.48302
Banque Populaire;17807;Banque Populaire Occitane;00124;LACAUNE;9, ave de Naurois;43.706854,2.693786
Banque Populaire;17807;Banque Populaire Occitane;00126;MONTREJEAU;46, rue du Barry;43.08441,0.570773
Banque Populaire;16607;Banque Populaire du Sud;00061;TOULOUGES;6, ave Jules Ferry;42.67049,2.831228
Banque Populaire;13807;Banque Populaire Grand Ouest;00488;BOUAYE;4, pl des Echoppes;47.143558,-1.687235
Banque Populaire;13807;Banque Populaire Grand Ouest;00880;CHERBOURG PRO PL;1, rue de l'Alma;49.638073,-1.62623
Banque Populaire;17807;Banque Populaire Occitane;00134;CASTELSARRASIN;16, pl de la Liberté;44.039172,1.107023
Banque Populaire;17807;Banque Populaire Occitane;00140;VILLEFRANCHE DE LAURAGAIS;128, rue de la République;43.400784,1.714549
Banque Populaire;16607;Banque Populaire du Sud;00064;VERNET LES BAINS;3, rue de la Chapelle;42.547425,2.389006
Banque Populaire;16607;Banque Populaire du Sud;00067;PERPIGNAN ST CHARLES;449, ave de Saint Charles;42.688253,2.852971
Banque Populaire;13807;Banque Populaire Grand Ouest;00627;LORIENT ENTREPRISE;12 et 14, rue du Sous-Marin Vénus;47.733331,-3.375031
Banque Populaire;10107;BRED-Banque Populaire;00240;CHENNEVIERES PINCE-VENT;Ctre Cial;48.794898,2.541501
Banque Populaire;17807;Banque Populaire Occitane;00202;L'ISLE JOURDAIN;10, Place du Foirail;43.615519,1.081871
Banque Populaire;17807;Banque Populaire Occitane;00205;TARBES MARCADIEU;34, pl Marcadieu;43.231073,0.084711
Banque Populaire;17807;Banque Populaire Occitane;00207;RIEUMES;10, pl des Marchands;43.412459,1.120329
Banque Populaire;16607;Banque Populaire du Sud;00068;ST LAURENT DE CERDANS;5, rue Joseph Nivet;42.383547,2.615118
