nom_banque;code_etab;nom_etab;code_agence;nom_agence;rue;place_id;place_name;rating;user_ratings_total;geopoints
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00343;NORD DE CLERMONT CEBAZAT;Ave du 8 Mai;ChIJ030RGtQY90cRmSg0jRzl87w;Banque Populaire Auvergne Rhône Alpes;2.1;7.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00346;GRAND MOULINS CENTRE;2, pl Anne de France;ChIJPaHjUD8c8UcRiQWOo1FLntc;Banque Populaire Auvergne Rhône Alpes;2.5;4.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00053;MARSEILLE BLANCARDE;8, bd de la Blancarde;ChIJ1UpubWG_yRIR398LDv3KiVQ;Banque Populaire Méditerranée;3.4;8.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00054;BASTIA CAMPINCHI;23-25, rue César Campinchi;ChIJhbcoPwQk1xIRpxURFhJb7X4;Banque Populaire Méditerranée;2.6;5.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00056;ARLES;8, bd des Lices;ChIJ3T3GpGt2thIRItMW9J2uVEc;Banque Populaire Méditerranée;3.6;14.0;
Banque Populaire;10207;Banque Populaire Rives de Paris;00193;SARCELLES VILLAGE;1, pl du 11 Novembre;ChIJoU8gBwlp5kcR00PVAc8dOCA;Banque Populaire Rives de Paris;2.3;9.0;
Banque Populaire;10207;Banque Populaire Rives de Paris;00197;BEAUCHAMP;10 bis, ave du Général de Gaulle;ChIJqahJca5g5kcRnHFMty8cAwQ;Banque Populaire Rives de Paris;2.2;6.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00064;MARSEILLE ST GINIEZ;24, rue Léon Paulet;ChIJU99P7VnHyRIRusIbEjvaVFg;Banque Populaire Méditerranée;2.3;18.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00069;BOUC BEL AIR;1C, ave de Lattre de Tassigny;ChIJ4eIOjTqTyRIRnm74YMM5fSY;Banque Populaire Méditerranée;2.4;10.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00071;CALVI;22 bis, bd Wilson;ChIJYZdHXHjr0BIR2PukvlIeviA;Banque Populaire Méditerranée;5.0;1.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00072;MARSEILLE EUROMEDITERRANEE;2-4, place d'Arvieux;ChIJd9xqKOzAyRIRowJrVDVMGiU;Banque Populaire Méditerranée;2.8;14.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00074;MARIGNANE MIRABEAU;27 bis, cours Mirabeau;ChIJFS9vziTmyRIRctuh9arqVSk;Banque Populaire Méditerranée;1.8;9.0;
Banque Populaire;10207;Banque Populaire Rives de Paris;00211;ATHIS-MONS ST CHARLES;1, pl de l'Eglise;ChIJ20DyEpp15kcRk-F_IuNg76Y;Banque Populaire Rives de Paris;3.0;8.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00368;UZERCHE;Rue du Pont Neuf;ChIJVya7KxPo-EcRrxVW6AY-rUU;Banque Populaire Auvergne Rhône Alpes;2.8;12.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00076;ORANGE BRIAND;42, cours Aristide Briand;ChIJOYeVC06XtRIRFJO3XdHwKQY;Banque Populaire Méditerranée;3.8;12.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00077;PORTO VECCHIO;Ctre Cial Les 4 Portes;ChIJ_Uz1xWOB2RIRPN6vsNUm0UA;Banque Populaire Méditerranée;3.9;9.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00078;PROPRIANO;Immeuble l'Isolottu;ChIJ1RtfYMA22hIR0W1dcCoZZTA;Banque Populaire Méditerranée;4.0;4.0;
Banque Populaire;10207;Banque Populaire Rives de Paris;00219;SAINT LEU LA FORET;16, rue de Paris;ChIJ1TaNVIBn5kcR1WLk2ci97G4;Banque Populaire Rives de Paris;3.3;11.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00372;ROANNE CENTRE FAUBOURG PARIS;19, rue Alexandre Roche;ChIJJcOkmUIP9EcRE1wsGxsU1Pw;Banque Populaire Auvergne Rhône Alpes;3.9;7.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00079;LA PENNE SUR HUVEAUNE;Pl Jean Pellegrin;ChIJvfV993y8yRIRlegjM-QuGYA;Banque Populaire Méditerranée;1.8;6.0;
Banque Populaire;10207;Banque Populaire Rives de Paris;00224;CLERMONT DE L'OISE;71, rue de la République;ChIJFd-HIoG050cROX6UUqb10Gs;Banque Populaire Rives de Paris;3.0;4.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00374;ROANNE OUEST RENAISON;10, rue Robert Barathon;ChIJV0FCITEC9EcRvG1SXkIam0c;Banque Populaire Auvergne Rhône Alpes;4.3;7.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00377;ST FLOUR;14, cours SPY des Ternes;ChIJy2del1jT90cR8_gDDH4mW54;Banque Populaire Auvergne Rhône Alpes;2.5;2.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00087;ILE ROUSSE;Place Marcel Delaunay;ChIJ36D6UYjE0BIRzAnxFRhUCzU;Banque Populaire Méditerranée;3.0;9.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00089;MARSEILLE BEAUMONT;2, avenue de la Rosière;ChIJES9tXQO_yRIRZkyNqkeNJjI;Banque Populaire Méditerranée;2.3;10.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00504;LUCCIANA;Rte de l'Aéroport;ChIJvWbAOXo51xIRvzsE8q2qSvI;Banque Populaire Méditerranée;2.6;5.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00507;LA CIOTAT ANCRE MARINE;Centre Commercial Ancre Marine;;;;;
Banque Populaire;10207;Banque Populaire Rives de Paris;00309;GENNEVILLIERS;1, pl Jean Grandel;ChIJrbuDzU1v5kcRGwBOR-Yky4E;Banque Populaire Rives de Paris;3.2;14.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00407;LYON VAISE;18, Grande Rue de Vaise;ChIJZ0Xvh23r9EcROC0kuqWiU6k;Banque Populaire Auvergne Rhône Alpes;2.3;9.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00509;MARSEILLE SAINT MARCEL;25, bd St Marcel;ChIJZ0SJ9bi-yRIRWqfhFxvYziU;Banque Populaire Méditerranée;3.5;4.0;
Banque Populaire;10207;Banque Populaire Rives de Paris;00315;PARIS BONSERGENT;18, pl Bonsergent;ChIJN9rFSm1u5kcRb9jismIMY2Q;Banque Populaire Rives de Paris;1.9;10.0;
Banque Populaire;10207;Banque Populaire Rives de Paris;00317;PANTIN EGLISE;149, ave Jean Lolive;ChIJOeHp7qpt5kcR4yKHvTyMKIU;Banque Populaire Rives de Paris;2.8;13.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00412;VILLEURBANNE CUSSET;359, cours Emile Zola;ChIJUau4kUzB9EcRxcfL-h748KI;Banque Populaire Auvergne Rhône Alpes;1.0;8.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00413;LE GRAND LARGE MEYZIEU;61, rue de la République;ChIJl6sozBbH9EcReeszA16l1Mo;Banque Populaire Auvergne Rhône Alpes;2.9;13.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00596;MARIGNANE ST VICTORET;Avenue du 8 Mai 1945;ChIJFS9vziTmyRIRWKrASaORz0w;Banque Populaire Méditerranée;3.1;19.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00420;LYON LUMIERE BACHUT;344, ave Berthelot;ChIJ0wgxY-LB9EcR8vDCmHL2VFM;Banque Populaire Auvergne Rhône Alpes;2.3;25.0;
Banque Populaire;10207;Banque Populaire Rives de Paris;00245;PARIS MASSON;1, place André Masson;ChIJASedt49x5kcRhn9ZRz14PIY;Banque Populaire;3.7;3.0;
