code_etab;nom_etab;code_agence;nom_agence;rue;nom_banque;place_id;rating;user_ratings_total;lat_lng
18315;COTE D'AZUR;70;MOUANS-SARTOUX;495 AVENUE DE CANNES;Caisse d'Epargne;ChIJm1hTD6gpzBIROqXzin6LaPE;3.8;16.0;43.6166004,6.9739313
13335;AQUITAINE POITOU-CHARENTES;33340;TERRASSON;25, R GAL GOUVERNEUR COURNARIE;Caisse d'Epargne;ChIJc7tEfout-EcRCcoSnqp9wBg;2.8;16.0;45.1297189,1.3021877
16275;HAUTS DE FRANCE;59867;VILLENEUVE D'ASCQ V 2;10 PLACE SALVADOR ALLENDE;Caisse d'Epargne;ChIJ73tKVDjWwkcRu4a_RGjWxJI;3.2;16.0;50.6189911,3.1312800
16607;Banque Populaire du Sud;00341;GANGES;24, rue Pasteur;Banque Populaire;ChIJlRlrWFr2sxIRfE2HYpY7IhQ;4.4;16.0;43.9327126,3.7104012
11425;NORMANDIE;76003;AUFFAY;14 RUE ROGER FOSSE;Caisse d'Epargne;ChIJ0z8sVLC_4EcRdhAQNm3_jyk;2.4;16.0;49.7183097,1.0999844
10207;Banque Populaire Rives de Paris;00035;PARIS GRENELLE;60, bd de Grenelle;Banque Populaire;ChIJD2BHxxtw5kcRfwVtMxb2pzg;2.2;16.0;48.8505759,2.2921598
13825;RHONE ALPES;30231;CONDRIEU;5 ALLEE DE L'OCTROI;Caisse d'Epargne;ChIJXePPAVge9UcRy6Uz2AXVHpg;3.9;16.0;45.4637578,4.7681609
17515;ILE DE FRANCE;421;LA FERTÉ-GAUCHER;6, RUE DE PARIS;Caisse d'Epargne;ChIJo6KOHfHO6EcRQDrASFKPSHk;3.4;16.0;48.7798749,3.3047625
17807;Banque Populaire Occitane;00107;MURET EUROPE;54 ter ave Jacques Douzans;Banque Populaire;ChIJ1XM89i3IrhIRhfuPY8AYM7k;2.9;16.0;43.4688528,1.3290851
14265;LOIRE DROME ARDECHE;30226;FIRMINY;41, RUE JEAN JAURES;Caisse d'Epargne;ChIJk26a2z2w9UcRVB6jERCe2Oc;3.3;16.0;45.3900083,4.2878152
15135;GRAND EST EUROPE;57559;REMILLY;10, PLACE FOCH;Caisse d'Epargne;ChIJP-cDPprvlEcRJJvBT8Mdz0Q;2.6;16.0;49.0128180,6.3955256
16807;Banque Populaire Auvergne Rhône Alpes;00323;L'OREE DES DOMES CHAMALIERES;37, ave de Royat;Banque Populaire;ChIJu-n52s0b90cROCyCtwIlxZc;2.3;16.0;45.7757393,3.0682805
13807;Banque Populaire Grand Ouest;00371;NANTES ST PIERRE;2, pl Saint Pierre;Banque Populaire;ChIJqdcemafuBUgR8UXgJySoIXs;2.7;16.0;47.2184468,-1.5515915
17515;ILE DE FRANCE;633;IGNY-GOMMONVILLIERS;10, PLACE STALINGRAD;Caisse d'Epargne;ChIJA51BtPh45kcRgNgF7fgmR08;2.3;16.0;48.7326364,2.2209860
17807;Banque Populaire Occitane;00019;TOULOUSE PONT DEMOISELLES;2, ave Saint Exupéry;Banque Populaire;ChIJlTsIV2C8rhIRZZaYgWRaMeI;1.9;16.0;43.5873933,1.4611034
15135;GRAND EST EUROPE;57439;METZ POMPIDOU;123-125, RUE AUX ARENES;Caisse d'Epargne;ChIJbxpVMhHclEcRmWPWxrgT-68;2.3;16.0;49.1076314,6.1785746
10107;BRED-Banque Populaire;00247;NOISY LE GRAND RICHARD;102, ave Médéric;Banque Populaire;ChIJwa7tK0AO5kcRA5QJ7-aJMTQ;2.2;16.0;48.8289965,2.5678048
15135;GRAND EST EUROPE;57307;FONTOY;8, RUE DE METZ;Caisse d'Epargne;ChIJd7Qt7OstlUcRgiZ3vmkN_x8;2.1;16.0;49.3564232,5.9986196
17515;ILE DE FRANCE;612;LE CHESNAY-LA-CELLE;2, RUE DE LA CELLE;Caisse d'Epargne;ChIJgUzSmad95kcR2GhiV5U3lBg;2.4;16.0;48.8191407,2.1264296
13825;RHONE ALPES;30246;LA MURE;14, RUE COTTE ROUGE;Caisse d'Epargne;ChIJfQHjG_R-ikcRufORj_d-ii4;3.8;16.0;44.9054206,5.7865157
14445;BRETAGNE-PAYS DE LOIRE;22097;AUDIERNE;7, QUAI ANATOLE FRANCE;Caisse d'Epargne;ChIJOVUD_HjgFkgRn4tCGT7dPdk;2.0;16.0;48.0245944,-4.5361682
16807;Banque Populaire Auvergne Rhône Alpes;00050;RUMILLY;5, pl Grenette;Banque Populaire;ChIJb-1DGXmdi0cR06pwr3sCQuA;2.9;16.0;45.8667075,5.9435679
15135;GRAND EST EUROPE;23;STRASBOURG VOSGES;39, AVENUE DES VOSGES;Caisse d'Epargne;ChIJ718JhVrIlkcRA5a3DlvXvwU;2.3;16.0;48.5895078,7.7510887
17515;ILE DE FRANCE;284;CHENNEVIÈRES-SUR-MARNE;5, AVENUE DU MARÉCHAL LECLERC;Caisse d'Epargne;ChIJl0-HWyMM5kcRHRS5HjXSJHo;2.9;16.0;48.7966348,2.5313885
13485;LANGUEDOC ROUSSILLON;127;NIMES VILLE ACTIVE;103 RUE JEAN PROUVE;Caisse d'Epargne;ChIJAU_lolAstBIRQyHG49tCsDg;2.6;16.0;43.8130875,4.3490529
13335;AQUITAINE POITOU-CHARENTES;86411;POITIERS VICTOR HUGO;7, RUE VICTOR HUGO;Caisse d'Epargne;ChIJXfHF32y-_UcRx50FhFK2GL0;2.3;16.0;46.5806764,0.3380460
10807;Banque Populaire Bourgogne Franche-Comté;00088;LAGNIEU;20, rue Pasteur;Banque Populaire;ChIJXXbhi2hOi0cRWG7BwMrd4Tg;3.1;16.0;45.9035700,5.3487457
14505;LOIRE CENTRE;620;GIEN;44, AVENUE DU MARECHAL LECLERC;Caisse d'Epargne;ChIJ5xd5DPnP4kcRZdVTUlaem8w;2.8;16.0;47.6857873,2.6334390
17515;ILE DE FRANCE;301;PROVINS;1, RUE VICTOR ARNOUL;Caisse d'Epargne;ChIJ4UNH37Ax70cRbJXapH6KO00;2.6;16.0;48.5591222,3.3026223
13807;Banque Populaire Grand Ouest;00458;BREST AGRI FINISTERE;8, rue Camille Saint Saëns;Banque Populaire;ChIJRYVWZ1-5FkgR8wsYT6OtILU;3.9;16.0;48.3913805,-4.4835061
17515;ILE DE FRANCE;308;MELUN NORD;47, AVENUE GEORGES POMPIDOU;Caisse d'Epargne;ChIJs8Is6_T65UcRCuz6JGzKjaA;2.4;16.0;48.5499127,2.6497757
14445;BRETAGNE-PAYS DE LOIRE;144;LE LOROUX BOTTEREAU;7 PLACE SAINT JEAN;Caisse d'Epargne;ChIJ2Q1nMVLiBUgRWWJmQ9flZwE;2.0;16.0;47.2378103,-1.3482924
15135;GRAND EST EUROPE;10522;TROYES CHARTREUX;99 BIS, AVENUE EDOUARD HERRIOT;Caisse d'Epargne;ChIJLecxjxGZ7kcRw2jJ38_lDF0;2.3;16.0;48.2723398,4.0828960
10207;Banque Populaire Rives de Paris;00028;BOISSY ST LEGER;15, rue de la Fontaine;Banque Populaire;ChIJRUB2MbwL5kcRPpzUXbegHWs;2.9;16.0;48.7493649,2.5087685
10207;Banque Populaire Rives de Paris;00187;GAGNY;4 bis, rue Henri Maillard;Banque Populaire;ChIJJ-VYGTES5kcR07hHCUEgoO0;1.9;16.0;48.8852796,2.5344454
17515;ILE DE FRANCE;317;TOURNAN-EN-BRIE;6, RUE DES FOSSES;Caisse d'Epargne;ChIJx9COaqcB5kcRYKUPdqO3eBc;2.0;16.0;48.7400766,2.7635767
14445;BRETAGNE-PAYS DE LOIRE;483;LES HERBIERS;7B RUE DU TOURNIQUET;Caisse d'Epargne;ChIJZzmrVxthBkgR-4klfrFOkRg;1.9;16.0;46.8698000,-1.0128048
13807;Banque Populaire Grand Ouest;00608;GRANVILLE;22, cours Jonville;Banque Populaire;ChIJ1xRGW-UaDEgRO8ZnoveApmQ;3.7;16.0;48.8380106,-1.5954812
13485;LANGUEDOC ROUSSILLON;134;UZES;PLACE BELLE CROIX;Caisse d'Epargne;ChIJg_5fAWC1tRIRkHr3pOcyQr8;2.5;16.0;44.0107813,4.4180563
15135;GRAND EST EUROPE;88336;GOLBEY;9, RUE DE L'HOTEL DE VILLE;Caisse d'Epargne;ChIJrcDYnp8Kk0cRx1xxpAn6liY;4.2;16.0;48.1980482,6.4397894
12135;BOURGOGNE - FRANCHE-COMTE;30630;AUXERRE JEAN JAURES;11 AVENUE JEAN JAURES;Caisse d'Epargne;ChIJXXQOPDJP7kcRvT4bkbqmrAo;3.9;16.0;47.7970350,3.5786780
18315;COTE D'AZUR;97;COGOLIN;63 RUE MARCEAU;Caisse d'Epargne;ChIJNRRF_QLJzhIRettbX3MMpt0;2.8;16.0;43.2465266,6.5340834
15135;GRAND EST EUROPE;57882;MULTI MARCHE NORD LORRAINE;5, PARVIS DES DROITS DE L HOMME;Caisse d'Epargne;ChIJEVwjiQXclEcRXF4t00IU3Po;2.1;16.0;49.1098415,6.1698124
